evID,Time,Mag,strike,dip,rake,strike2,dip2,rake2,source,,,,,,,,,,,
20416,2019-09-19T19:30:41,3.14,185.4,56.1,-157.3,82.3,71.3,-36.1,Li2022,,20416,20190919.19,3.1,341.567,34.1135,115.714,131.382,59.6491,73.6214,Yu2021
23645,2019-12-23T19:16:45,3.54,190.4,49.2,-159,86.3,74.3,-42.8,Li2022,,23645,20191223.19,3.5,NaN,NaN,NaN,NaN,NaN,NaN,Yu2021
23728,20191225.02,3.9,359.734,57.6486,171.19,94.4743,82.5662,32.6596,Yu2021,,23728,2019-12-25T02:06:50,3.94,180.2,55.5,-151.3,,,,Li2022
23908,20191230.11,3.8,196.669,65.5194,-148.676,92.5149,61.7617,-28.058,Yu2021,,,,,,,,,,,
24086,2019-12-30T22:51:42,3.17,165.4,73.4,-157.6,68.68,68.58,-17.87,Li2022,,23908,2019-12-30T10:54:00,3.75,185.3,53.6,-167.2,87.6,79.7,-37.1,Li2022
30232,20200624.08,3.8,184.996,77.7947,-165.24,91.8076,75.5808,-12.6087,Yu2021,,24086,20191230.23,3.2,Nan,Nan,Nan,Nan,Nan,Nan,Yu2021
43875,20210509.01,3.1,76.3573,60.8819,-46.8577,193.797,50.3986,-140.835,Yu2021,,,,,,,,,,,
43925,20210509.14,3.3,204.588,74.7146,-124.359,93.5007,37.2207,-25.838,Yu2021,,,,,,,,,,,
43982,20210510.01,3.9,152.59,40.6494,-77.4608,316.251,50.514,-100.559,Yu2021,,,,,,,,,,,
44378,20210514.18,3.3,211.908,38.6785,-145.598,93.7802,69.3233,-56.5546,Yu2021,,,,,,,,,,,
46236,20210609.11,3.5,11.6562,49.2776,154.929,118.629,71.2676,43.542,Yu2021,,,,,,,,,,,
46818,20210616.12,3.5,216.718,37.9698,-155.204,106.706,75.0468,-54.6831,Yu2021,,,,,,,,,,,
46961,20210616.17,3.5,182.041,74.8846,172.699,273.955,82.9525,15.2332,Yu2021,,,,,,,,,,,
,,,,,,,,,,test/small,,,,,,,,,,
41296,20201205.15,2.6,44.6846,46.7088,90.387,224.12,43.2926,89.5892,Yu2021,N,,,,,,,,,,
41299,20201205.16,2.9,63.2919,53.1284,-68.1525,209.541,42.053,-116.388,Yu2021,?,,,,,,,,,,
41894,20210217.22,2.6,303.637,51.3714,-81.9488,110.87,39.33,-99.9411,Yu2021,N,,,,,,,,,,
42040,20210307.15,2.7,141.591,59.8878,107.11,290.059,34.2327,63.1022,Yu2021,---,,,,,,,,,,
42397,20210403.22,2.5,49.2301,29.3151,-136.97,280.086,70.4821,-67.6832,Yu2021,---,,,,,,,,,,
44305,20210513.2,2.7,242.971,44.8965,-64.9521,29.5582,50.2493,-112.872,Yu2021,x,,,,,,,,,,
46345,20210609.23,2.9,117.568,45.4161,36.8104,359.854,64.739,129.088,Yu2021,?,,,,,,,,,,